Product,Spec,Packing,Loading
Cassia long stick 30 ÷ 45cm - roll 70%,"- Moisture: 13.5% max
- Admixture: 0.5%max
- Length: 30-45cm 
- Thickness: 0.8-2.5mm
- Roll: 70% min
- Diameter : 0.8 cm-2 cm
- Natural colour
- Taste: pungency 
- Not black inside, unmouldy,free from sand, soil, stone, live/dead insects, animal drops.",20kg/carton,"5MT/20FT
12MT/40FT"
Cassia long stick 30 ÷ 45cm - roll 80%,"- Moisture: 13.5% max
- Admixture: 0.5%max
- Length: 30-45cm 
- Thickness: 0.8-2.5mm
- Roll: 80% min
- Diameter : 0.8 cm-2 cm
- Natural colour
- Taste: pungency 
- Not black inside, unmouldy,free from sand, soil, stone, live/dead insects, animal drops.",20kg/carton,"5MT/20FT
12MT/40FT"
Cassia long stick 30 ÷ 45cm - roll 85%,"- Moisture: 13.5% max
- Admixture: 0.5%max
- Length: 30-45cm 
- Thickness: 0.8-2.5mm
- Roll: 85% min
- Diameter : 0.8 cm-2 cm
- Natural colour
- Taste: pungency 
- Not black inside, unmouldy,free from sand, soil, stone, live/dead insects, animal drops.",20kg/carton,"5MT/20FT
12MT/40FT"
Cassia leaves,"- Moisture : 13.5% max, 
- Admixture: 0.5% max
- No dust, no powder, natural green",25kg/PP bag,"9MT/20FT
19MT/40FT"
Cassia husk,"- Moisture : 13.5% max, 
- Admixture: 0.5% max",25kg/PP Bag,"7MT/20FT
15MT/40FT"
Cassia Powder VO 1.5%,"- Moisture: 10% max
- Oil content: 1.5% 
- Admixture: 0.5 % max 
- Mesh: #60",25kg/bag1PE + 1 KP,"15MT/20FT
27MT/40FT"
Cassia Powder VO 2%,"- Moisture: 10% max
- Oil content: 2% min
- Admixture: 0.5 % max 
- Mesh: #60",25kg/bag1PE + 1 KP,"15MT/20FT
27MT/40FT"
Cassia Powder VO 2.5%,"- Moisture: 10% max
- Oil content: 2.5% 
- Admixture: 0.5% max 
- Mesh: #60",25kg/bag1PE + 1 KP,"15MT/20FT
27MT/40FT"
Cassia Powder VO 3%,"- Moisture: 10% max
- Oil content: 3% min
- Admixture: 0.5 % max 
- Mesh: #60",25kg/bag1PE + 1 KP,"15MT/20FT
27MT/40FT"
,,,
